sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
TCGA.15.1444.01A.02R.1850.01	0.445005481	0.047238577	0.201648914	0.254053686	0.02020762	0.655227661
TCGA.06.0157.01A.01R.1849.01	0.147377253	0	0.271181378	0.156538229	0.119691531	0.429001362
TCGA.06.0747.01A.01R.1849.01	0	0.390230724	0.135290438	0	0	0.695038723
TCGA.19.2624.01A.01R.1850.01	0	0	0	0	1.090838502	0
TCGA.26.5139.01A.01R.1850.01	0	0.462524327	0.097360688	0.016861072	0	0.521679808
TCGA.14.1034.01A.01R.1849.01	0	0.307329427	0.051659164	0.039858021	0	0.631823627
TCGA.06.2565.01A.01R.1849.01	0.201217792	0	0.240567989	0.090216957	0.173270002	0.189983043
TCGA.14.1825.01A.01R.1850.01	0.03938329	0	0.059826488	0.012131018	0	0
TCGA.32.1980.01A.01R.1850.01	0.561589143	0	0.219585211	0.068033088	0.165570911	0.678859524
TCGA.06.5412.01A.01R.1849.01	0.518283782	0	0.360989277	0.335828696	0.232050598	0.571308982
TCGA.27.2521.01A.01R.1850.01	0.115944831	0.053998591	0.212898042	0.058505372	0.134920981	0.118944259
TCGA.06.0178.01A.01R.1849.01	0.163691219	0	0.195866702	0.07421348	0.021534523	0.203445346
TCGA.26.5135.01A.01R.1850.01	0.210526083	0.058077871	0.252293874	0.064617348	0.193730819	0.201783848
TCGA.14.0789.01A.01R.1849.01	0	0.537353463	0.066054387	0.098316752	0.005904704	0.713967979
TCGA.06.0882.01A.01R.1849.01	0.309824913	0.227456476	0.135026794	0.102564615	0.051392664	0.719473013
TCGA.27.1837.01A.01R.1850.01	0.044657873	0.058263121	0.0953791	0.057673418	0	0.120670394
TCGA.12.3653.01A.01R.1849.01	0.186615607	0.029032665	0.063085227	0.133554256	0.103195678	0
TCGA.28.2499.01A.01R.1850.01	0.155219514	0.068143444	0.350261533	0.084387618	0.125147952	0.36247667
TCGA.76.4932.01A.01R.1850.01	0.159288427	0.200371246	0.153246013	0.056665113	0.051140022	0.455207507
TCGA.06.0184.01A.01R.1849.01	0.779004771	0	0.197582633	0.129280518	0.075025738	0.770567134
TCGA.32.2634.01A.01R.1850.01	0.271816298	0	0.266619698	0.045930389	0.043831288	0.485905745
TCGA.16.0846.01A.01R.1850.01	0.227949821	0.144926848	0.238171964	0.166436244	0.040380849	0.39356419
TCGA.28.5207.01A.01R.1850.01	0.328105693	0	0.105138655	0.11585596	0.081104203	0.264536073
TCGA.27.1834.01A.01R.1850.01	0	0.661696783	0.089862264	0	0	0.58486976
TCGA.28.5208.01A.01R.1850.01	0.356974338	0	0.227125162	0.036253416	0.22789224	0.33146443
TCGA.06.0743.01A.01R.1849.01	0.154727701	0.042565866	0.204694891	0.102682632	0.060225532	0.208385387
TCGA.27.2519.01A.01R.1850.01	0	0.445903366	0.149706609	0.050812734	0.002074842	0.686452116
TCGA.02.2483.01A.01R.1849.01	0.25256012	0.037863686	0.252189662	0.166137644	0.209979353	0.13385258
TCGA.41.3915.01A.01R.1850.01	0	0.168326345	0.293721	0.120270706	0.161002497	0.386168294
TCGA.28.5204.01A.01R.1850.01	0.240012184	0.047245365	0.1936282	0.087782868	0.180072261	0.175812982
TCGA.32.5222.01A.01R.1850.01	0.270325646	0	0.21140077	0.211260822	0.033476798	0.47740875
TCGA.06.0238.01A.02R.1849.01	0.367155444	0	0.139385772	0.146368836	0.142545809	0.183655199
TCGA.06.0141.01A.01R.1849.01	0.219693481	0	0.592031098	0.236381391	0.561221244	0.34710774
TCGA.41.4097.01A.01R.1850.01	0.095372147	0.119688229	0.220800264	0.010390418	0.015013279	0.567531302
TCGA.06.2561.01A.02R.1849.01	0.046145278	0.337745562	0.000532561	0.118585444	0.019984609	0.479413251
TCGA.28.5209.01A.01R.1850.01	0	0.21829587	0.218049618	0.067523408	0.063175808	0.503092216
TCGA.41.5651.01A.01R.1850.01	0.137979884	0	0.176734844	0.028844243	0	0.14918455
TCGA.06.5416.01A.01R.1849.01	0	0.003163309	0.175477027	0.035719369	0	0.148036056
TCGA.12.3650.01A.01R.1849.01	0.177742633	0	0.100789336	0.043864426	0.059328946	0.035756954
TCGA.15.0742.01A.01R.1850.01	0.068375919	0.115044681	0.189341181	0.013064545	0.105615261	0.156067502
TCGA.06.0138.01A.02R.1849.01	0.070194363	0	0.35454935	0.201050767	0.093866098	0.229420314
TCGA.76.4927.01A.01R.1850.01	0.156283892	0.045923793	0.222378129	0.018657973	0.019563535	0.420176207
TCGA.06.0211.01A.01R.1849.01	0	0.322501749	0.268953015	0.166678224	0.12418445	0.491249548
TCGA.06.0210.01A.01R.1849.01	0	0.477786185	0.199902135	0.152888932	0.05322039	0.752652287
TCGA.19.2620.01A.01R.1850.01	0.005300045	0.117103212	0.18736457	0.003532803	0	0.29311418
TCGA.06.1804.01A.01R.1849.01	0.265225012	0.06772301	0.080899229	0.158252584	0	0.336888787
TCGA.12.0619.01A.01R.1849.01	0.332674569	0.067017905	0.340264176	0.216451268	0.255228932	0.622798894
TCGA.26.5134.01A.01R.1850.01	0.046978629	0	0.062197663	0.003464581	0	0
TCGA.02.2485.01A.01R.1849.01	0	0.101251065	0.220142995	0.154567121	0.043816118	0.216626476
TCGA.27.1831.01A.01R.1850.01	0	0.112998318	0.134266812	0.11702327	0	0.200753501
TCGA.26.1442.01A.01R.1850.01	0.297252497	0	0.117985737	0.084026031	0.025559605	0.455067592
TCGA.06.0745.01A.01R.1849.01	0.246297329	0	0.365481919	0.130473547	0.307313897	0.377783954
TCGA.19.2629.01A.01R.1850.01	0.351229117	0.16131306	0.202628791	0.072707916	0.100283153	0.738773173
TCGA.27.2526.01A.01R.1850.01	0	0.290731515	0.295218329	0	0.003999333	0.419005442
TCGA.06.0130.01A.01R.1849.01	0.460017436	0	0.646237988	0.233796929	0.169552436	0.85965964
TCGA.14.0871.01A.01R.1849.01	0	0	0	0	0	0
TCGA.27.1830.01A.01R.1850.01	0	0.357038636	0.161620724	0.121229006	0	0.591603105
TCGA.06.0744.01A.01R.1849.01	0.134881331	0	0.221023974	0.093951488	0.168677441	0.081084322
TCGA.19.4065.01A.01R.2005.01	0	0.411365707	0.395178133	0.145407838	0.162146909	0.777879819
TCGA.06.0749.01A.01R.1849.01	0.583991911	0	0.316484878	0	0.167356234	0.502234319
TCGA.06.5859.01A.01R.1849.01	0.447269335	0	0.465977543	0.115101347	0.094090084	0.494284531
TCGA.76.4931.01A.01R.1850.01	0	0.148846404	0.243234573	0.06317704	0.034019336	0.37103295
TCGA.06.5411.01A.01R.1849.01	0.488944566	0	0.137790245	0.099077833	0.173026455	0.320253671
TCGA.08.0386.01A.01R.1849.01	0.074395248	0.210271286	0.138024789	0.065258374	0.053164704	0.309076613
TCGA.06.0645.01A.01R.1849.01	0.319223712	0.185385843	0.257435711	0.332327631	0.157460458	0.684414755
TCGA.06.2564.01A.01R.1849.01	0.174303173	0.243287012	0.18104495	0.062306161	0.183064146	0.590100813
TCGA.14.0787.01A.01R.1849.01	0	0.24617412	0.11425369	0	0	0.350675116
TCGA.41.2571.01A.01R.1850.01	0.251579554	0	0.184768724	0.013817204	0.028805814	0.365873918
TCGA.06.0644.01A.02R.1849.01	0	0	0.528666726	0	0	1.535735723
TCGA.06.5414.01A.01R.1849.01	0	0.887942974	0	0.023814891	0	0.891410389
TCGA.14.1829.01A.01R.1850.01	0	0.037996445	0.23062246	0.109616195	0	0.308674095
TCGA.06.0646.01A.01R.1849.01	0.139971291	0.066288747	0.229608278	0.361520384	0.020976016	0.509265515
TCGA.12.0616.01A.01R.1849.01	0.037529507	0.060729728	0.202663312	0.034122469	0.043960877	0.145108029
TCGA.41.2572.01A.01R.1850.01	0.101452224	0.054672722	0.21152716	0.131140815	0.179773483	0.137295185
TCGA.32.2638.01A.01R.1850.01	0.152555164	0.383163858	0.206389375	0.262170684	0.160039838	0.569397101
TCGA.26.5132.01A.01R.1850.01	0	0.557775903	0.170100886	0	0	0.627722439
TCGA.06.2562.01A.01R.1849.01	0	0.340258787	0.160815378	0.105352433	0.034276616	0.783799057
TCGA.06.5410.01A.01R.1849.01	0.506522992	0.046065525	0.534714377	0.593710666	0.582219336	1.053554959
TCGA.32.4213.01A.01R.1850.01	0	0.120729012	0.144916942	0.018569372	0	0.214871793
TCGA.06.0129.01A.01R.1849.01	0.650725784	0	0.085155985	0.199920446	0.116819343	0.303327386
TCGA.28.5220.01A.01R.1850.01	0.317489051	0	0.112292029	0.149253333	0.153506527	0.128410245
TCGA.14.2554.01A.01R.1850.01	0	0.447931923	0.03708618	0.119156134	0	0.468143863
TCGA.19.1390.01A.01R.1850.01	0.252464188	0	0.186564714	0.109641404	0.227939077	0.076901422
TCGA.06.0190.01A.01R.1849.01	0	0.129813983	0.415333528	0.200974667	0.047144886	0.723501824
TCGA.27.2523.01A.01R.1850.01	0.216836278	0	0.176968423	0.056090038	0.180246033	0.237996406
TCGA.14.1823.01A.01R.1849.01	0	0.371021138	0.042745864	0.097116184	0	0.449893407
TCGA.32.1982.01A.01R.1850.01	0.089873153	0	0.127614695	0.080872659	0	0.023791325
TCGA.06.0174.01A.01R.1849.01	0.068684537	0.048818668	0.25139988	0.063408006	0.260225628	0.032123951
TCGA.02.0047.01A.01R.1849.01	0.232402829	0	0.18276022	0.160388277	0.066968189	0.448812955
TCGA.06.0750.01A.01R.1849.01	0.105998079	0	0.416969818	0.082649731	0.229618226	0.533795897
TCGA.06.0686.01A.01R.1849.01	0.09264603	0	0.003787072	0	0.263274484	0
TCGA.06.5858.01A.01R.1849.01	0.06681926	0.290260959	0.190134449	0.081493357	0.032828395	0.795433877
TCGA.06.2563.01A.01R.1849.01	0.199904603	0	0.162788373	0.092778825	0.146324211	0.188077526
TCGA.28.5216.01A.01R.1850.01	0.096453419	0	0.263206539	0.083281722	0	0.417866508
TCGA.27.1835.01A.01R.1850.01	0.191451192	0	0.047107486	0.0498268	0.085250797	0.048903286
TCGA.27.1832.01A.01R.1850.01	0	0.920592015	0.045558823	0	0	1.008378303
TCGA.28.5215.01A.01R.1850.01	0.270331007	0	0.384229608	0.140261927	0.189140657	0.676004663
TCGA.32.2616.01A.01R.1850.01	0.147738855	0	0.615945626	0.055762606	0.403838803	1.01205861
TCGA.32.1970.01A.01R.1850.01	0.223569446	0.103885794	0.156410917	0.073048091	0.088255531	0.23254062
TCGA.19.2625.01A.01R.1850.01	0	0.475045747	0.294266495	0	0	0.610706192
TCGA.27.2524.01A.01R.1850.01	0	0.12830003	0.234134512	0.142764356	0.009124564	0.487502256
TCGA.27.2528.01A.01R.1850.01	0.059128187	0	0.232661654	0	0.139426249	0.338726498
